Timestamp_Seconds	Memory_Usage_MB
1457.75	3690.61
1458.94	3692.49
1460.13	3695.42
1461.33	3697.18
1462.52	3497.01
1463.71	3692.78
1464.90	3692.78
1466.09	3612.06
1467.29	3689.98
1468.48	3696.54
1469.67	3696.55
1470.87	3696.55
1472.06	3697.86
1473.25	3697.86
1474.44	3698.57
1475.64	3698.57
1476.83	3698.56
1478.02	3701.25
1479.22	3702.14
1480.41	3702.14
1481.61	3705.02
1482.80	3709.84
1483.99	3694.70
1485.19	3705.29
1486.38	3705.33
1487.57	3705.32
1488.77	3670.03
1489.94	2791.21
1491.09	1877.33
1492.24	1877.52
1493.39	1882.45
1494.55	1882.59
1495.70	1882.59
1496.85	1882.59
1498.00	1882.59
1499.15	1882.59
1500.30	1882.50
1501.45	1883.50
1502.60	1882.95
1503.75	1882.94
1504.90	1882.93
1506.05	1882.90
1507.20	1882.90
1508.36	1882.90
1509.51	1882.90
1510.66	1882.57
1511.81	1891.25
